"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Craig Porter","Cle","G","24.1","49","13","20.4","16.6","56","0.732","192","0.536","34","0.353","0.535","0.565","5.8","2.2","2.4","0.4","0.3","0.9","7.9","8.1","10.3","9.6","113.5","109.9"
"","Ricky Council IV","Phi","G","22.7","29","9.3","22.6","3.6","71","0.746","77","0.545","29","0.345","0.538","0.608","5.8","1.5","0.5","0.2","0","0.1","7.2","6.3","7.8","7","130.8","114.3"
"","Pat Connaughton","Mil","G","31.3","72","22.2","10.7","12.3","55","0.764","99","0.636","230","0.352","0.561","0.582","5.7","3.2","2.1","0.5","0.3","0.6","8.9","7.8","11.1","6.1","121.7","113.9"
"","Larry Nance Jr.","Nor","F-C","31.3","59","19.8","11.3","16.9","57","0.754","169","0.633","62","0.419","0.632","0.654","5.7","5","1.8","1","0.3","0.8","10.7","7.5","12.5","7.5","129.8","105.3"
"","Mitchell Robinson","Nyk","C","26","27","26","10.4","18","57","0.368","118","0.559","0","0","0.559","0.535","5.7","9.2","0.7","1.3","1.2","1","14.9","6.3","15.6","5.1","119.1","106.2"
"","Jaylen Nowell","Mem","G","24.7","9","17.4","16.9","8.3","3","1","32","0.563","23","0.174","0.436","0.453","5.7","1.6","1.8","0.3","0","0.6","7.2","7.4","9","5.8","98.7","112.2"
"","Jared Butler","Was","G","23.6","37","13.1","19.8","21.5","30","0.9","98","0.612","70","0.3","0.545","0.579","5.7","1.3","2.9","0.7","0.2","1.2","7","8.5","9.9","8.5","109","113.6"
"","Kris Murray","Por","F","23.6","58","20.4","14","13.3","45","0.6","164","0.537","156","0.269","0.472","0.484","5.7","3.3","1.3","0.9","0.3","0.8","8.9","6.9","10.2","5.7","101.7","114.7"
"","Nicolas Batum","Phi","G-F","35.3","54","25.9","8.7","13.9","21","0.714","65","0.615","170","0.412","0.617","0.624","5.6","4.2","2.1","0.8","0.6","0.7","9.9","7.8","12","5.7","127.8","111.6"
"","Bones Hyland","Lac","G","23.6","34","13.2","23.8","16.6","18","0.778","88","0.432","108","0.315","0.454","0.471","5.6","1.1","2.2","0.6","0.1","1.1","6.7","7.9","9","7.2","95.8","110.1"
"","Monte Morris","Min","G","28.8","23","16.1","14.4","4.4","17","0.706","56","0.446","52","0.423","0.537","0.554","5.6","1.7","2.4","0.8","0.3","0.2","7.2","8","9.7","7","127.1","109.5"
"","Marcus Morris Sr.","Cle","F","34.6","11","14.7","17.4","16.6","8","0.625","25","0.48","25","0.44","0.57","0.579","5.6","2","0.9","0.2","0.2","0.9","7.6","6.5","8.5","5.9","103.2","110.9"
"","Sasha Vezenkov","Sac","F","28.7","40","12.2","17.7","6.1","15","0.8","69","0.551","115","0.383","0.565","0.577","5.5","2.3","0.5","0.5","0.2","0.3","7.8","6","8.3","6.1","117.4","110"
"","Cam Reddish","Lal","F-G","24.6","47","20.7","12.7","11.8","54","0.759","122","0.443","110","0.336","0.472","0.508","5.5","2.1","1","1","0.3","0.7","7.6","6.5","8.6","4.4","102.2","111.9"
"","Nick Smith Jr.","Cha","G","20","48","13.8","19.7","12.4","13","0.846","127","0.354","128","0.422","0.494","0.504","5.5","1.3","1.1","0.2","0.1","0.8","6.8","6.6","7.9","5.8","97.8","117.4"
"","Dexter Dennis","Dal","G","25.2","4","7.5","33.4","13.5","3","0.333","11","0.818","8","0.125","0.553","0.541","5.5","2.3","1","0","0.3","0.8","7.8","6.5","8.8","12.4","100.3","113.5"
"","Kris Dunn","Uta","G","30.1","66","18.9","13.6","20.1","32","0.688","202","0.525","111","0.369","0.535","0.546","5.4","2.9","3.8","1","0.4","1.2","8.3","9.3","12.1","8.3","115.6","111.3"
"","Gary Payton II","Gol","G","31.3","43","15.5","13.4","12.8","21","0.619","125","0.656","52","0.346","0.616","0.62","5.4","2.6","1.1","0.9","0.4","0.6","8","6.5","9.1","6.4","122.3","106.1"
"","Thomas Bryant","Mia","C-F","26.7","37","11.3","18.9","12","45","0.867","118","0.627","21","0.19","0.576","0.627","5.4","3.5","0.6","0.3","0.4","0.5","8.9","6","9.5","8","123.5","101.5"
"","Bol Bol","Pho","C-F","24.4","40","11.3","16.4","10.4","19","0.789","96","0.708","50","0.44","0.692","0.703","5.4","3.3","0.4","0.2","0.6","0.4","8.8","5.9","9.2","6.8","131","106.7"
"","Matisse Thybulle","Por","F","27.1","65","22.9","10.6","11.2","29","0.759","86","0.535","231","0.346","0.524","0.537","5.4","2.1","1.4","1.7","0.8","0.6","7.5","6.8","8.9","4.4","110.5","114"
"","Dean Wade","Cle","F","27.4","54","20.5","10.5","7.9","26","0.769","30","0.567","202","0.391","0.584","0.598","5.4","4","0.8","0.7","0.5","0.4","9.4","6.2","10.2","5","120.3","106.1"
"","Ochai Agbaji","Uta","G","24","51","19.7","12.2","12","20","0.75","107","0.551","142","0.331","0.52","0.531","5.4","2.5","0.9","0.5","0.6","0.7","7.8","6.3","8.8","4.7","106.6","118.2"
"","Stanley Umude","Det","G","25","24","12.8","15.5","14.2","32","0.906","31","0.419","53","0.453","0.583","0.647","5.3","2.1","0.5","0.3","0.3","0.6","7.4","5.8","7.9","5.5","119.6","108.4"
"","Patrick Beverley","Mil","G","35.7","22","19.9","13.2","10.5","23","0.826","51","0.392","60","0.317","0.437","0.479","5.3","3.1","2.3","0.7","0.6","0.6","8.4","7.5","10.6","6.7","110","109.2"
"","Quentin Grimes","Det","G","23.9","6","19.2","19.9","14.2","11","0.909","14","0.357","28","0.143","0.262","0.342","5.3","2","2.3","0.8","0.7","1.2","7.3","7.7","9.7","6","78.6","114.2"
"","Zavier Simpson","Mem","G","27.2","3","23.9","17.8","21.2","4","0.75","14","0.143","8","0.375","0.295","0.337","5.3","2.3","3.7","1.7","1","2","7.7","9","11.3","6","79.3","112.7"
"","Bismack Biyombo","Mem","C","31.6","30","23.9","10.6","24.2","46","0.478","119","0.563","0","0","0.563","0.56","5.2","6.4","1.7","0.3","1.1","1.3","11.6","6.9","13.3","6.4","107.8","105.4"
"","Mason Plumlee","Lac","F-C","34.1","42","14.1","14.6","18.3","87","0.69","127","0.622","2","0","0.612","0.652","5.2","4.9","1.1","0.3","0.4","0.7","10.1","6.3","11.1","8.6","129","104.6"
"","Jarred Vanderbilt","Lal","F","25","29","20","11.7","19.7","36","0.667","87","0.586","27","0.296","0.553","0.578","5.2","4.8","1.2","1.2","0.2","1","9.9","6.4","11.2","6.2","113","107.7"
"","Goga Bitadze","Orl","C-F","24.7","58","16.1","13.2","17.1","82","0.659","190","0.642","13","0.154","0.616","0.636","5.2","4.8","1.3","0.5","1.2","0.7","10","6.6","11.4","7.9","128.4","101.2"
"","Drew Eubanks","Pho","F-C","27.2","72","15.7","13.1","19.8","93","0.774","239","0.607","3","1","0.618","0.656","5.2","4.3","0.8","0.4","0.8","0.8","9.5","6","10.3","6.7","123.3","106.6"
"","Jordan Nwora","Ind","F","25.6","18","10.1","22.7","12.7","11","0.818","46","0.565","36","0.306","0.518","0.541","5.2","1.8","1","0.3","0.1","0.7","7.1","6.2","8.1","8.3","105.6","111.7"
"","Luke Kornet","Bos","C-F","28.7","59","15.3","10.8","9.8","49","0.898","183","0.694","0","0","0.694","0.728","5.1","4.1","1","0.4","1","0.3","9.1","6","10.1","7.2","154","106.3"
"","Malachi Flynn","Tor","G","25.9","31","15.3","16.2","19.4","22","0.773","57","0.491","80","0.35","0.511","0.535","5.1","2.1","2.4","0.6","0.2","1.1","7.2","7.4","9.5","7.7","105.4","112.8"
"","Davion Mitchell","Sac","G","25.6","68","14.9","14.5","12","39","0.718","145","0.566","142","0.359","0.552","0.567","5.1","1.3","1.8","0.3","0","0.6","6.4","6.9","8.1","6.1","116","113.3"
"","Thaddeus Young","Tor","F","35.8","23","15.2","12.6","11.2","12","0.417","81","0.654","6","0.167","0.626","0.618","5","3.3","2.2","0.8","0.1","0.5","8.2","7.1","10.4","8.7","131.5","109.3"
"","Chimezie Metu","Pho","F-C","27","37","12.1","17","17.2","43","0.884","79","0.646","51","0.294","0.565","0.621","5","3","0.5","0.5","0.2","0.7","8","5.5","8.5","6.5","114.7","106.8"
"","Kenyon Martin Jr.","Lac","F","23.3","2","15.7","18","16.4","2","0.5","5","0.6","5","0.2","0.45","0.46","5","1.5","0.5","1","0.5","1","6.5","5.5","7","4","86.2","109.2"
"","Isaiah Livers","Det","F","25.7","23","20.4","12.7","12.1","18","0.667","39","0.462","77","0.286","0.44","0.46","5","2.1","1.1","0.6","0.2","0.7","7","6","8.1","4.4","96.2","114.4"
"","Jordan Goodwin","Pho","G","25.5","40","14","18.2","13","29","0.862","113","0.46","80","0.288","0.448","0.481","5","2.9","2","0.6","0.2","0.7","7.9","6.9","9.8","8.8","108.9","109.6"
"","D.J. Wilson","Phi","F","28.1","2","7.8","16.7","0","0","0","4","0.5","2","1","0.833","0.833","5","1","1","0","1","0","6","6","7","8.8","172.3","115.5"
"","Kobi Simmons","Tor","G","26.8","4","16.9","13.9","4.5","0","0","13","0.538","8","0.25","0.476","0.476","5","1.8","3","1.5","0.5","0.3","6.8","8","9.8","7.1","115.6","112"
"","Bryce McGowens","Cha","G","21.4","55","14.9","14.3","11.5","71","0.761","114","0.535","93","0.333","0.519","0.565","4.9","1.7","0.8","0.4","0.1","0.5","6.6","5.7","7.5","5.1","111.2","114.8"
"","Noah Clowney","Bro","F","19.7","20","13.1","14.7","12.8","25","0.68","45","0.6","23","0.391","0.596","0.62","4.9","3.3","0.7","0.3","0.4","0.5","8.2","5.6","8.8","6.9","122.6","110.5"
"","Jevon Carter","Chi","G","28.6","68","13.6","17.5","9.3","7","0.571","121","0.463","210","0.338","0.491","0.492","4.8","0.8","1.2","0.5","0.2","0.5","5.6","6","6.8","4.9","100.9","114.2"
"","Josh Okogie","Pho","F","25.6","57","16.7","12.9","15","102","0.745","110","0.509","93","0.301","0.483","0.549","4.8","2.7","1.1","0.8","0.4","0.6","7.4","5.9","8.6","5.8","118.2","111.3"
"","Garrison Mathews","Atl","G","27.5","62","14.5","10.7","8.4","41","0.829","28","0.536","167","0.467","0.677","0.699","4.8","1.4","0.5","0.3","0.1","0.3","6.2","5.3","6.7","4.1","135.1","111.8"
"","Jalen Wilson","Bro","F","23.4","40","14.4","14.3","11","44","0.818","90","0.5","63","0.349","0.51","0.557","4.8","2.7","1.1","0.2","0.1","0.5","7.5","5.9","8.6","6.7","118.9","113.5"
"","Julian Strawther","Den","G","22","47","11.5","20.5","8.7","29","0.759","83","0.494","138","0.297","0.464","0.486","4.8","1.3","1","0.4","0.1","0.4","6.1","5.8","7.1","6.4","100.5","107.5"
"","DeJon Jarreau","Mem","G","26.2","9","16.6","18.4","15.2","11","0.455","37","0.351","13","0.308","0.38","0.392","4.8","4.9","2.9","0.7","0.2","1","9.7","7.7","12.6","9.8","93.2","104.6"
"","Shake Milton","Min","G-F","27.5","38","12.9","18.7","14.9","44","0.818","107","0.467","53","0.264","0.444","0.496","4.7","1.3","1.3","0.4","0.1","0.7","6","6","7.3","6.2","100.1","104.1"
"","Kenrich Williams","Okc","G-F","29.3","65","15","13.1","9.4","14","0.5","127","0.559","134","0.396","0.577","0.576","4.7","3","1.3","0.6","0.1","0.4","7.8","6","9","7","122.2","106.4"
"","Keon Ellis","Sac","G","24.2","53","16.3","11.7","14","32","0.719","52","0.558","138","0.406","0.595","0.61","4.7","2.1","1.5","0.8","0.5","0.6","6.8","6.2","8.2","6","120.8","106.1"
"","Jacob Gilyard","Mem","G","25.7","37","17.7","11.4","16.7","2","1","24","0.375","120","0.425","0.594","0.597","4.7","1.2","3.5","0.7","0.1","0.8","5.8","8.2","9.4","6.1","124.7","114.8"
"","Jeff Dowtin Jr.","Phi","G","26.9","9","12.5","12.8","15.4","3","1","9","0.667","18","0.5","0.722","0.742","4.7","2","2.2","0.6","0.1","0.6","6.7","6.9","8.9","8.8","142.9","117.3"
"","Mo Bamba","Phi","C","25.9","54","13.3","15.3","16.7","48","0.667","131","0.534","63","0.397","0.554","0.574","4.6","4.3","0.8","0.4","1.1","0.7","8.9","5.3","9.6","7.6","114.3","100.8"
"","Neemias Queta","Bos","C","24.7","26","11.4","15.3","10.7","24","0.708","83","0.614","0","0","0.614","0.636","4.6","4.1","0.5","0.4","0.6","0.4","8.7","5.1","9.2","7.4","135.7","95.5"
"","Anthony Black","Orl","G","20.2","66","17.2","12.8","18.2","80","0.613","151","0.503","91","0.385","0.531","0.552","4.6","2.1","1.4","0.5","0.3","0.8","6.7","6","8.1","5.5","107.4","105.6"
"","Troy Brown Jr.","Det","G-F","24.7","18","17.9","13.6","10.3","13","0.846","38","0.316","49","0.327","0.414","0.448","4.6","3.2","1.1","0.6","0","0.6","7.8","5.7","8.8","5.7","96.4","117.9"
"","Delon Wright","Mia","G","31.9","11","19.8","11.9","1.9","14","0.786","31","0.355","20","0.3","0.392","0.446","4.6","1.8","2.4","1.2","0.2","0.1","6.5","7","8.8","5.5","113.9","111.8"
"","Robert Covington","Phi","F","33.3","26","16.1","11.4","11","24","0.875","41","0.561","48","0.354","0.545","0.593","4.5","3.4","0.7","1.3","0.6","0.4","8","5.2","8.6","5.5","124","102.8"
"","Keita Bates-Diop","Pho","F","28.2","39","15.3","13","8","36","0.722","86","0.512","64","0.313","0.493","0.525","4.5","2.6","0.9","0.6","0.5","0.3","7.1","5.3","7.9","5.7","115.3","112.7"
"","Devonte' Graham","San","G","29.1","19","11.6","17.4","10.5","14","0.857","17","0.588","59","0.305","0.487","0.523","4.5","1.5","1.9","0.5","0.1","0.5","6","6.5","7.9","8.1","112.8","115.3"
"","Jock Landale","Hou","C","28.5","52","12.7","14.8","12.7","57","0.789","148","0.561","31","0.226","0.522","0.568","4.5","3.1","1","0.3","0.5","0.5","7.6","5.5","8.6","7.6","123.8","107.5"
"","AJ Green","Mil","G","24.5","54","10.7","15.5","5.5","17","0.882","26","0.538","164","0.409","0.603","0.618","4.5","1.2","0.6","0.1","0.1","0.2","5.7","5.1","6.2","5.5","122.3","112.4"
"","Kobe Bufkin","Atl","G","20.5","13","11.2","20.3","8.7","4","0.5","31","0.516","32","0.25","0.444","0.448","4.5","1.8","1.8","0.5","0.3","0.5","6.2","6.2","8","8.7","102.5","113.1"
"","Monte Morris","Det","G","28.8","6","11.4","22.4","5.7","2","0.5","22","0.455","11","0.182","0.394","0.398","4.5","2","1.3","0.2","0.2","0.3","6.5","5.8","7.8","8","91.5","121.8"
"","Gordon Hayward","Okc","F","34","23","16.5","12.5","9.2","29","0.724","63","0.349","25","0.52","0.472","0.516","4.5","2.3","1.7","0.4","0","0.4","6.8","6.2","8.5","6.3","115.8","114.3"
"","Joe Ingles","Orl","F-G","36.5","64","17.3","11.6","22.5","31","0.839","62","0.435","155","0.432","0.588","0.609","4.4","2.1","3","0.6","0.1","1","6.5","7.4","9.4","7","119.1","106.7"
"","Kevon Looney","Gol","C","28.2","71","16.2","11.1","17.9","79","0.671","219","0.598","1","0","0.595","0.618","4.4","5.7","1.8","0.4","0.3","0.7","10.1","6.3","12","8.8","131.4","102.2"
"","Caleb Houstan","Orl","G","21.2","56","14.1","12.5","7.4","24","0.792","13","0.615","187","0.38","0.573","0.589","4.4","1.5","0.5","0.2","0.1","0.3","5.9","4.9","6.4","4.2","120.1","109.1"
"","Dominick Barlow","San","F","20.9","33","12.7","14.1","7.4","42","0.69","104","0.51","9","0.333","0.509","0.548","4.4","3.4","1.1","0.4","0.4","0.3","7.8","5.5","8.9","8","124.4","108.5"
"","Jontay Porter","Tor","C-F","24.4","26","13.8","15.8","16.8","18","0.833","44","0.455","60","0.333","0.481","0.514","4.4","3.2","2.3","0.8","0.8","0.8","7.6","6.7","9.9","9.2","112.1","109.4"
"","Seth Curry","Dal","G","33.6","36","12.7","15.9","9.9","19","0.895","65","0.385","80","0.363","0.472","0.502","4.3","1.4","0.8","0.5","0.1","0.4","5.7","5.1","6.6","5.3","104.8","112.8"
"","Maxi Kleber","Dal","C","32.2","40","20.5","9.6","15.8","45","0.689","51","0.549","87","0.322","0.507","0.542","4.3","3.3","1.6","0.4","0.7","0.7","7.6","5.9","9.2","5.5","113.9","109.7"
"","Jaxson Hayes","Lal","C-F","23.9","67","12.4","12.6","19.7","80","0.625","159","0.755","8","0","0.719","0.717","4.3","3","0.5","0.5","0.4","0.6","7.3","4.8","7.8","6","128.2","102"
"","John Konchar","Mem","G","28","55","21.3","9.7","18.1","25","0.84","88","0.568","120","0.317","0.514","0.537","4.3","4.7","2","0.9","0.9","0.8","8.9","6.3","10.9","6.4","113","110.1"
"","Brandon Boston Jr.","Lac","G","22.4","28","8.9","23.1","9.1","25","0.68","74","0.486","35","0.286","0.468","0.496","4.3","1.2","0.3","0.1","0.3","0.4","5.5","4.5","5.7","5.2","99.5","107.4"
"","Dru Smith","Mia","G","26.3","9","14.5","13.2","13","2","1","16","0.5","17","0.412","0.561","0.576","4.3","1.6","1.6","1","0.3","0.6","5.9","5.9","7.4","6.1","118.1","104.8"
"","MarJon Beauchamp","Mil","F","23.5","46","12.9","14.2","14.7","28","0.679","85","0.553","72","0.389","0.567","0.582","4.3","2.1","0.7","0.3","0.1","0.6","6.4","4.9","7","5.7","109.5","110.4"
"","Max Christie","Lal","G","21.2","65","14.5","13.5","12.7","46","0.783","122","0.492","118","0.356","0.513","0.542","4.3","2.2","0.9","0.3","0.3","0.5","6.5","5.3","7.4","5.6","104.7","112.3"
"","Lester Quinones","Gol","G","23.4","35","10.7","17.7","10.9","27","0.667","49","0.429","81","0.37","0.508","0.529","4.3","2","0.9","0.2","0.1","0.5","6.3","5.2","7.2","7.4","111.6","108.2"
"","Ben Sheppard","Ind","G","22.7","54","13.8","13.1","5.9","26","0.885","67","0.567","141","0.312","0.5","0.526","4.3","1.5","0.9","0.6","0","0.2","5.8","5.2","6.6","5.2","111.9","111.7"
"","Danuel House Jr.","Phi","F-G","30.8","34","15","12.2","15.3","46","0.761","55","0.582","50","0.3","0.519","0.575","4.2","1.7","0.8","0.4","0.1","0.6","5.9","5.1","6.8","4.8","113.7","110.8"
"","Troy Brown Jr.","Min","G-F","24.7","37","11.1","15.7","13.2","22","0.864","34","0.618","84","0.369","0.572","0.603","4.2","1.9","0.9","0.2","0.1","0.5","6.1","5.1","7.1","7","117.8","106.3"
"","Armoni Brooks","Bro","G","25.8","10","10.4","20.3","4.1","2","0.5","14","0.286","32","0.344","0.446","0.448","4.2","1.8","0.5","0.1","0.1","0.2","6","4.7","6.5","6","100.5","119.1"
"","Theo Maledon","Cha","G","22.8","13","15.4","19","18.4","12","0.917","36","0.389","30","0.167","0.326","0.379","4.2","1.8","2.2","0.5","0","1.2","5.9","6.3","8.1","6.6","82.6","114.2"
"","Eugene Omoruyi","Was","F","27.1","40","8.6","21.8","11.4","47","0.66","104","0.567","36","0.167","0.486","0.52","4.2","2","0.8","0.7","0.1","0.5","6.2","4.9","7","8.8","107.9","103.2"
"","Jamal Cain","Mia","F","25.1","23","11.1","17","9.2","23","0.783","48","0.479","31","0.355","0.5","0.544","4.2","1.6","0.4","0.4","0.2","0.3","5.8","4.7","6.2","5","111.9","107.2"
"","Ashton Hagans","Por","G-F","24.8","18","16.8","14.6","30.1","17","0.824","45","0.444","22","0.318","0.455","0.503","4.2","2.4","2.8","0.6","0.5","1.6","6.6","6.9","9.3","7.2","97.2","108.2"
"","Delon Wright","Was","G","31.9","33","13.8","13.5","8.2","29","0.828","84","0.405","38","0.368","0.451","0.497","4.1","1.8","2.5","1.1","0.2","0.3","5.8","6.5","8.3","7.7","117.9","117.2"
"","Jae'Sean Tate","Hou","F","28.4","65","15.9","11.7","13.9","39","0.667","152","0.559","77","0.299","0.522","0.538","4.1","3","1","0.6","0.2","0.6","7.1","5.1","8.1","5.8","111.3","102.6"
"","Ryan Rollins","Was","G","21.8","10","6.6","25.2","21.6","17","0.765","22","0.5","3","0.667","0.56","0.631","4.1","1.1","1.1","0.8","0.3","0.7","5.2","5.2","6.3","10.3","115.2","107.4"
"","T.J. Warren","Min","F","30.6","10","12.4","16.7","8.8","4","0.75","28","0.571","13","0.154","0.463","0.479","4.1","2.2","0.9","0.4","0.1","0.4","6.3","5","7.2","6.5","102.5","102.7"
"","Evan Fournier","Nyk","G-F","31.4","3","12.9","24.4","4.7","2","1","5","0.4","15","0.133","0.25","0.287","4","1.3","1","1.3","0","0.3","5.3","5","6.3","5.4","72.4","101.1"
"","Justin Holiday","Den","F-G","35","54","14.8","10.4","6.9","4","0.75","56","0.571","120","0.408","0.599","0.602","4","1.2","1.2","0.6","0.2","0.2","5.2","5.1","6.4","4.8","124.5","109.9"
"","Mike Muscala","Was","F-C","32.8","24","14.1","14.3","15","20","0.75","39","0.487","51","0.275","0.444","0.481","4","3.1","1","0.2","0.3","0.7","7.1","4.9","8","6.6","100.2","114.2"
"","Omer Yurtseven","Uta","C","25.8","44","10.1","17.4","17.6","22","0.636","125","0.592","20","0.25","0.562","0.572","4","3.7","0.5","0.1","0.4","0.7","7.8","4.5","8.3","7.7","109.7","110.4"
"","Jaden Springer","Phi","G","21.5","32","11.8","18.2","18","34","0.824","81","0.469","37","0.216","0.424","0.481","4","1.8","1.1","0.8","0.3","0.8","5.8","5.1","6.9","6.8","99.7","103.9"
"","Chris Duarte","Sac","G","26.8","57","12.4","14.8","10.9","33","0.788","82","0.439","123","0.358","0.498","0.524","4","1.8","0.8","0.5","0.1","0.4","5.9","4.8","6.6","5.8","107.4","107.2"
"","Blake Wesley","San","G","21.1","57","13.7","14.2","19.8","70","0.643","139","0.576","47","0.17","0.495","0.528","4","1.4","2.7","0.5","0.2","0.8","5.5","6.7","8.1","7.2","111.1","111"
"","Mamadi Diakite","San","F","27.2","3","5.3","20.1","0","6","0.667","5","0.8","0","0","0.8","0.785","4","1","0.7","0","0.3","0","5","4.7","5.7","10.6","167.1","116.5"
"","Matt Hurt","Mem","F","24","8","14.2","14.2","5.5","3","1","14","0.5","20","0.25","0.426","0.453","4","2","0.5","0.4","0.4","0.3","6","4.5","6.5","4.5","103.7","113.4"
"","Izaiah Brockington","Nor","G","24.7","1","3.4","63.9","0","0","0","4","0.5","1","0","0.4","0.4","4","2","0","0","0","0","6","4","6","0","0","0"
"","Taj Gibson","Det","F","38.8","2","9.9","10.8","0","0","0","1","1","4","0.5","0.8","0.8","4","1","0","0.5","0","0","5","4","5","0","151.8","111.1"
"","Buddy Boeheim","Det","F","24.4","7","9.5","17.5","0","5","1","4","0.25","21","0.333","0.46","0.515","4","1.1","0.4","0","0.1","0","5.1","4.4","5.6","5.1","115.6","118.8"
"","JaVale McGee","Sac","C-F","36.2","45","7.4","22.7","20.3","43","0.581","119","0.622","6","0.167","0.604","0.611","3.9","2.6","0.3","0.3","0.4","0.7","6.6","4.2","6.9","7.8","108","100.7"
"","DeAndre Jordan","Den","C","35.7","36","11","15.4","19.8","53","0.491","93","0.624","0","0","0.624","0.61","3.9","4.4","0.7","0.2","0.4","0.6","8.3","4.7","9","8.3","120","98.7"
"","Luka Garza","Min","C","25.3","23","5","33.8","7.7","22","0.682","40","0.6","32","0.281","0.521","0.551","3.9","1.2","0.2","0.1","0","0.3","5.1","4.1","5.3","7.8","111.6","91.6"
"","Ousmane Dieng","Okc","F","20.9","31","11","16.3","14","16","0.875","37","0.622","67","0.299","0.51","0.54","3.9","1.6","1.1","0.2","0.1","0.5","5.5","4.9","6.5","6.9","108.1","113.4"
"","Terquavion Smith","Phi","G","21.3","13","5.8","28.3","10.4","3","0.667","10","0.5","33","0.394","0.57","0.575","3.9","0.2","0.8","0.6","0","0.4","4.2","4.8","5","5.9","111.8","108.8"
"","Tre Mann","Okc","G","23.2","13","9.2","18","18.2","1","1","21","0.571","19","0.421","0.6","0.606","3.8","1.8","1.5","0.2","0","0.7","5.6","5.3","7.2","9.4","115","114.8"
"","Jaylin Williams","Okc","F","21.8","65","12.9","13.5","13.1","40","0.825","76","0.474","135","0.356","0.512","0.545","3.8","3.3","1.6","0.4","0.4","0.5","7.2","5.4","8.7","8.4","117.2","103.4"
"","Rayan Rupert","Por","G-F","19.9","35","14.4","13.8","16.8","21","0.81","70","0.329","58","0.397","0.449","0.481","3.8","2.2","1.4","0.3","0.1","0.7","5.9","5.1","7.3","6.3","100.6","111.7"
"","Doug McDermott","Ind","F","32.3","15","11.3","14.8","6.8","2","0.5","9","0.778","46","0.304","0.509","0.51","3.8","0.7","0.7","0.2","0","0.3","4.5","4.5","5.2","4.4","103.8","117.3"
"","Xavier Tillman","Bos","F","25.2","16","14.4","10.7","5.5","6","0.667","29","0.724","22","0.227","0.559","0.569","3.8","3.1","1","0.4","0.4","0.2","6.9","4.8","7.9","6.3","129","109.4"
"","KJ Martin","Phi","F","23.3","58","12.3","13.2","14.9","39","0.538","148","0.581","23","0.304","0.564","0.569","3.7","2.2","0.9","0.3","0.2","0.5","5.9","4.6","6.8","6.3","113","104.4"
"","Oshae Brissett","Bos","F-G","25.8","52","11.4","13.7","11.1","75","0.64","83","0.566","53","0.283","0.511","0.553","3.6","2.8","0.8","0.3","0.1","0.3","6.4","4.4","7.2","7","124.7","105.2"
"","Yuta Watanabe","Pho","G-F","29.5","29","13.2","13.5","14.1","15","0.667","22","0.5","75","0.32","0.485","0.502","3.6","1.5","0.3","0.3","0.2","0.6","5.1","3.9","5.4","3.6","96.4","110.8"
"","Gabe Vincent","Lal","G","27.8","8","21.3","11.1","9.3","2","0.5","19","0.579","20","0.1","0.359","0.364","3.6","0.9","2.3","0.9","0","0.5","4.5","5.9","6.8","3.7","90.1","110.7"
"","James Bouknight","Cha","G","23.6","14","5.8","23.9","4.6","2","0.5","11","0.455","30","0.433","0.598","0.597","3.6","0.6","0.4","0.1","0.1","0.1","4.2","4","4.6","6.6","116","121.6"
"","Collin Gillespie","Den","G","24.8","24","9.4","17.1","16.8","12","0.667","31","0.548","38","0.395","0.572","0.586","3.6","0.9","1.1","0.5","0","0.6","4.5","4.8","5.6","6.5","109.1","105.5"
"","Jarace Walker","Ind","F","20.6","31","10.6","16","13.2","9","0.889","53","0.415","52","0.385","0.495","0.514","3.6","1.9","1.3","0.5","0.4","0.5","5.5","4.9","6.7","7.8","107.3","112.7"
"","Jordan McLaughlin","Min","G","28","52","10.9","12.4","11.1","14","0.714","50","0.44","86","0.488","0.625","0.633","3.5","1.3","1.9","0.6","0.1","0.3","4.8","5.4","6.7","7.5","135.5","106.8"
"","Nassir Little","Pho","F-G","24.2","42","10.7","13.6","10.5","20","0.85","51","0.647","68","0.309","0.542","0.571","3.5","1.8","0.5","0.2","0.2","0.3","5.3","4","5.8","5.5","114","109.7"
"","Jared Rhoden","Det","G","24.6","13","11.8","13.1","13.6","8","0.625","22","0.591","16","0.313","0.539","0.554","3.5","1.5","0.8","0.2","0.5","0.5","5.1","4.4","5.9","5.5","107","109.4"
"","Onuralp Bitim","Chi","F","25","21","11.5","14.7","8.8","4","0.75","35","0.543","37","0.297","0.493","0.502","3.5","1.4","0.6","0.1","0.1","0.3","5","4.1","5.6","5","103.2","112.8"
"","Mike Muscala","Det","F-C","32.8","13","13.2","11.9","4.3","4","0.5","10","0.2","34","0.382","0.489","0.492","3.5","2.2","0.8","0.2","0.4","0.2","5.7","4.2","6.5","5.6","113.6","115.7"
"","Richaun Holmes","Dal","F","30.5","23","10.3","14.5","16.8","21","0.571","59","0.559","0","0","0.559","0.572","3.4","3.4","0.7","0.1","0.4","0.5","6.8","4","7.4","7.8","120.7","103.5"
"","Harry Giles III","Bro","F-C","26","16","5.1","30.2","13.7","13","0.538","33","0.576","11","0.273","0.534","0.543","3.4","1.6","0.4","0.1","0.2","0.4","5","3.8","5.4","10.2","106.4","99.2"
